action	old_id	scafold
rm	BFRA_002821	tig00000012
rm	BFRA_003028	tig00000012
rm	BFRA_003101	tig00000012
rm	BFRA_003128	tig00000012
rm	BFRA_011390	tig00000037
rm	BFRA_011512	tig00000037
rm	BFRA_003522	tig00000045
rm	BFRA_003739	tig00000045
rm	BFRA_003917	tig00000045
rm	BFRA_003895	tig00000045
rm	BFRA_003934	tig00000045
rm	BFRA_003971	tig00000045
rm	BFRA_003417	tig00000045
rm	BFRA_003438	tig00000045
rm	BFRA_003444	tig00000045
rm	BFRA_004043	tig00000050
rm	BFRA_004582	tig00000050
rm	BFRA_004655	tig00000050
rm	BFRA_004656	tig00000050
rm	BFRA_004711	tig00000050
rm	BFRA_004188	tig00000050
rm	BFRA_005450	tig00000054
rm	BFRA_004961	tig00000054
rm	BFRA_008177	tig00000061
rm	BFRA_008477	tig00000061
rm	BFRA_008540	tig00000061
rm	BFRA_008248	tig00000061
rm	BFRA_005507	tig00000075
rm	BFRA_005553	tig00000075
rm	BFRA_005555	tig00000075
rm	BFRA_005569	tig00000075
rm	BFRA_006127	tig00000075
rm	BFRA_006151	tig00000075
rm	BFRA_009063	tig00000101
rm	BFRA_008837	tig00000101
rm	BFRA_008847	tig00000101
rm	BFRA_007701	tig00000112
rm	BFRA_007768	tig00000112
rm	BFRA_007812	tig00000112
rm	BFRA_009190	tig00000161
rm	BFRA_009501	tig00000161
rm	BFRA_009552	tig00000161
rm	BFRA_009309	tig00000161
rm	BFRA_009444	tig00000161
rm	BFRA_009611	tig00000163
rm	BFRA_009991	tig00000163
rm	BFRA_009821	tig00000163
rm	BFRA_010110	tig00000186
rm	BFRA_010147	tig00000186
rm	BFRA_010754	tig00000223
rm	BFRA_010846	tig00000223
rm	BFRA_010937	tig00000223
rm	BFRA_011114	tig00000225
rm	BFRA_011176	tig00000225
rm	BFRA_011191	tig00000225
rm	BFRA_011275	tig00000225
rm	BFRA_011763	tig00000251
rm	BFRA_011953	tig00000255
rm	BFRA_012008	tig00000260
rm	BFRA_012347	tig00000274
rm	BFRA_007361	tig00000795
rm	BFRA_007142	tig00000795
rm	BFRA_010694	tig00000797
rm	BFRA_006290	tig00000000
rm	BFRA_006848	tig00000000
rm	BFRA_006384	tig00000000
rm	BFRA_006469	tig00000000
rm	BFRA_000775	tig00000001
rm	BFRA_000309	tig00000001
rm	BFRA_002784	tig00000012
rm	BFRA_002944	tig00000012
rm	BFRA_004442	tig00000050
rm	BFRA_004088	tig00000050
rm	BFRA_004783	tig00000050
rm	BFRA_004922	tig00000054
rm	BFRA_008253	tig00000061
rm	BFRA_007885	tig00000112
rm	BFRA_008069	tig00000112
rm	BFRA_007637	tig00000112
rm	BFRA_007676	tig00000112
rm	BFRA_007696	tig00000112
rm	BFRA_010322	tig00000186
rm	BFRA_010843	tig00000223
rm	BFRA_011102	tig00000225
rm	BFRA_011122	tig00000225
rm	BFRA_011597	tig00000251
rm	BFRA_011889	tig00000255
rm	BFRA_011905	tig00000255
rm	BFRA_007439	tig00000795
rm	BFRA_007209	tig00000795
rm	BFRA_000102	tig00000001
rm	BFRA_003741	tig00000045
rm	BFRA_007794	tig00000112
rm	BFRA_009398	tig00000161
rm	BFRA_010295	tig00000186
rm	BFRA_001460	tig00000006
rm	BFRA_004323	tig00000050
rm	BFRA_004121	tig00000050
rm	BFRA_006383	tig00000000
rm	BFRA_000989	tig00000001
rm	BFRA_001838	tig00000006
rm	BFRA_002147	tig00000006
rm	BFRA_001444	tig00000006
rm	BFRA_002783	tig00000012
rm	BFRA_002861	tig00000012
rm	BFRA_003720	tig00000045
rm	BFRA_003822	tig00000045
rm	BFRA_003878	tig00000045
rm	BFRA_003441	tig00000045
rm	BFRA_003442	tig00000045
rm	BFRA_004286	tig00000050
rm	BFRA_008655	tig00000101
rm	BFRA_011185	tig00000225
rm	BFRA_011220	tig00000225
rm	BFRA_011946	tig00000255
rm	BFRA_012109	tig00000260
rm	BFRA_012149	tig00000260
rm	BFRA_007104	tig00000795
rm	BFRA_007145	tig00000795
rm	BFRA_010679	tig00000797
rm	BFRA_003882	tig00000045
rm	BFRA_004148	tig00000050
rm	BFRA_005973	tig00000075
rm	BFRA_007114	tig00000795
rm	BFRA_007115	tig00000795
rm	BFRA_006638	tig00000000
rm	BFRA_004184	tig00000050
rm	BFRA_010777	tig00000223
rm	BFRA_002488	tig00000012
rm	BFRA_011764	tig00000251
rm	BFRA_001099	tig00000001
rm	BFRA_001260	tig00000006
rm	BFRA_001274	tig00000006
rm	BFRA_001391	tig00000006
rm	BFRA_003190	tig00000012
rm	BFRA_004239	tig00000050
rm	BFRA_004461	tig00000050
rm	BFRA_005804	tig00000075
rm	BFRA_007404	tig00000795
rm	BFRA_007527	tig00000795
rm	BFRA_008163	tig00000061
rm	BFRA_008501	tig00000061
rm	BFRA_008530	tig00000061
rm	BFRA_009065	tig00000101
rm	BFRA_010401	tig00000797
rm	BFRA_010886	tig00000223
rm	BFRA_012122	tig00000260
rm	BFRA_012193	tig00000270
rm	BFRA_012254	tig00000270
rm	BFRA_007144	tig00000795
